ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::1514","CK_ProductVendor_MinOrderQty",Validation Rule,"","CK_ProductVendor_MinOrderQty"," >= 1","","","","CK_ProductVendor_MinOrderQty","","CK_ProductVendor_MinOrderQty","CK_ProductVendor_MinOrderQty","Purchasing","false","","MinMax","1","","","No","false","","CK_ProductVendor_MinOrderQty"
"1075839020::1516","CK_ProductVendor_MaxOrderQty",Validation Rule,"","CK_ProductVendor_MaxOrderQty"," >= 1","","","","CK_ProductVendor_MaxOrderQty","","CK_ProductVendor_MaxOrderQty","CK_ProductVendor_MaxOrderQty","Purchasing","false","","MinMax","1","","","No","false","","CK_ProductVendor_MaxOrderQty"
"1075839020::1518","CK_ProductVendor_OnOrderQty",Validation Rule,"","CK_ProductVendor_OnOrderQty"," >= 0","","","","CK_ProductVendor_OnOrderQty","","CK_ProductVendor_OnOrderQty","CK_ProductVendor_OnOrderQty","Purchasing","false","","MinMax","0","","","No","false","","CK_ProductVendor_OnOrderQty"
"1075839020::1543","CK_PurchaseOrderDetail_OrderQty",Validation Rule,"","CK_PurchaseOrderDetail_OrderQty","[OrderQty]>(0)","","","","CK_PurchaseOrderDetail_OrderQty","","CK_PurchaseOrderDetail_OrderQty","CK_PurchaseOrderDetail_OrderQty","Purchasing","false","","User-Defined","","","","","","","CK_PurchaseOrderDetail_OrderQty"
"1075839020::1545","CK_PurchaseOrderDetail_UnitPrice",Validation Rule,"","CK_PurchaseOrderDetail_UnitPrice"," >= 0.00","","","","CK_PurchaseOrderDetail_UnitPrice","","CK_PurchaseOrderDetail_UnitPrice","CK_PurchaseOrderDetail_UnitPrice","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderDetail_UnitPrice"
"1075839020::1547","CK_PurchaseOrderDetail_ReceivedQty",Validation Rule,"","CK_PurchaseOrderDetail_ReceivedQty"," >= 0.00","","","","CK_PurchaseOrderDetail_ReceivedQty","","CK_PurchaseOrderDetail_ReceivedQty","CK_PurchaseOrderDetail_ReceivedQty","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderDetail_ReceivedQty"
"1075839020::1549","CK_PurchaseOrderDetail_RejectedQty",Validation Rule,"","CK_PurchaseOrderDetail_RejectedQty"," >= 0.00","","","","CK_PurchaseOrderDetail_RejectedQty","","CK_PurchaseOrderDetail_RejectedQty","CK_PurchaseOrderDetail_RejectedQty","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderDetail_RejectedQty"
"1075839020::1577","CK_PurchaseOrderHeader_Status",Validation Rule,"","CK_PurchaseOrderHeader_Status"," BETWEEN 1 AND 4","","","","CK_PurchaseOrderHeader_Status","","CK_PurchaseOrderHeader_Status","CK_PurchaseOrderHeader_Status","Purchasing","false","","MinMax","1","4","","No","false","","CK_PurchaseOrderHeader_Status"
"1075839020::1583","CK_PurchaseOrderHeader_SubTotal",Validation Rule,"","CK_PurchaseOrderHeader_SubTotal"," >= 0.00","","","","CK_PurchaseOrderHeader_SubTotal","","CK_PurchaseOrderHeader_SubTotal","CK_PurchaseOrderHeader_SubTotal","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderHeader_SubTotal"
"1075839020::1587","CK_PurchaseOrderHeader_TaxAmt",Validation Rule,"","CK_PurchaseOrderHeader_TaxAmt"," >= 0.00","","","","CK_PurchaseOrderHeader_TaxAmt","","CK_PurchaseOrderHeader_TaxAmt","CK_PurchaseOrderHeader_TaxAmt","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderHeader_TaxAmt"
"1075839020::1591","CK_PurchaseOrderHeader_Freight",Validation Rule,"","CK_PurchaseOrderHeader_Freight"," >= 0.00","","","","CK_PurchaseOrderHeader_Freight","","CK_PurchaseOrderHeader_Freight","CK_PurchaseOrderHeader_Freight","Purchasing","false","","MinMax","0.00","","","No","false","","CK_PurchaseOrderHeader_Freight"
"1075839020::1606","CK_PurchaseOrderHeader_ShipDate",Validation Rule,"","CK_PurchaseOrderHeader_ShipDate","[ShipDate]>=[OrderDate] OR [ShipDate] IS NULL","","","","CK_PurchaseOrderHeader_ShipDate","","CK_PurchaseOrderHeader_ShipDate","CK_PurchaseOrderHeader_ShipDate","Purchasing","false","","User-Defined","","","","","","","CK_PurchaseOrderHeader_ShipDate"
"1075839020::1615","CK_ShipMethod_ShipBase",Validation Rule,"","CK_ShipMethod_ShipBase","[ShipBase]>(0.00)","","","","CK_ShipMethod_ShipBase","","CK_ShipMethod_ShipBase","CK_ShipMethod_ShipBase","Purchasing","false","","User-Defined","","","","","","","CK_ShipMethod_ShipBase"
"1075839020::1619","CK_ShipMethod_ShipRate",Validation Rule,"","CK_ShipMethod_ShipRate","[ShipRate]>(0.00)","","","","CK_ShipMethod_ShipRate","","CK_ShipMethod_ShipRate","CK_ShipMethod_ShipRate","Purchasing","false","","User-Defined","","","","","","","CK_ShipMethod_ShipRate"
"1075839020::1644","CK_Vendor_CreditRating",Validation Rule,"","CK_Vendor_CreditRating"," BETWEEN 1 AND 5","","","","CK_Vendor_CreditRating","","CK_Vendor_CreditRating","CK_Vendor_CreditRating","Purchasing","false","","MinMax","1","5","","No","false","","CK_Vendor_CreditRating"
"1075839020::1756","CK_SalesOrderDetail_OrderQty",Validation Rule,"","CK_SalesOrderDetail_OrderQty","[OrderQty]>(0)","","","","CK_SalesOrderDetail_OrderQty","","CK_SalesOrderDetail_OrderQty","CK_SalesOrderDetail_OrderQty","Sales","false","","User-Defined","","","","","","","CK_SalesOrderDetail_OrderQty"
"1075839020::1758","CK_SalesOrderDetail_UnitPrice",Validation Rule,"","CK_SalesOrderDetail_UnitPrice"," >= 0.00","","","","CK_SalesOrderDetail_UnitPrice","","CK_SalesOrderDetail_UnitPrice","CK_SalesOrderDetail_UnitPrice","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesOrderDetail_UnitPrice"
"1075839020::1760","CK_SalesOrderDetail_UnitPriceDiscount",Validation Rule,"","CK_SalesOrderDetail_UnitPriceDiscount"," >= 0.00","","","","CK_SalesOrderDetail_UnitPriceDiscount","","CK_SalesOrderDetail_UnitPriceDiscount","CK_SalesOrderDetail_UnitPriceDiscount","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesOrderDetail_UnitPriceDiscount"
"1075839020::1809","CK_SalesOrderHeader_Status",Validation Rule,"","CK_SalesOrderHeader_Status"," BETWEEN 0 AND 8","","","","CK_SalesOrderHeader_Status","","CK_SalesOrderHeader_Status","CK_SalesOrderHeader_Status","Sales","false","","MinMax","0","8","","No","false","","CK_SalesOrderHeader_Status"
"1075839020::1815","CK_SalesOrderHeader_SubTotal",Validation Rule,"","CK_SalesOrderHeader_SubTotal"," >= 0.00","","","","CK_SalesOrderHeader_SubTotal","","CK_SalesOrderHeader_SubTotal","CK_SalesOrderHeader_SubTotal","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesOrderHeader_SubTotal"
"1075839020::1819","CK_SalesOrderHeader_TaxAmt",Validation Rule,"","CK_SalesOrderHeader_TaxAmt"," >= 0.00","","","","CK_SalesOrderHeader_TaxAmt","","CK_SalesOrderHeader_TaxAmt","CK_SalesOrderHeader_TaxAmt","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesOrderHeader_TaxAmt"
"1075839020::1823","CK_SalesOrderHeader_Freight",Validation Rule,"","CK_SalesOrderHeader_Freight"," >= 0.00","","","","CK_SalesOrderHeader_Freight","","CK_SalesOrderHeader_Freight","CK_SalesOrderHeader_Freight","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesOrderHeader_Freight"
"1075839020::1846","CK_SalesOrderHeader_DueDate",Validation Rule,"","CK_SalesOrderHeader_DueDate","[DueDate]>=[OrderDate]","","","","CK_SalesOrderHeader_DueDate","","CK_SalesOrderHeader_DueDate","CK_SalesOrderHeader_DueDate","Sales","false","","User-Defined","","","","","","","CK_SalesOrderHeader_DueDate"
"1075839020::1848","CK_SalesOrderHeader_ShipDate",Validation Rule,"","CK_SalesOrderHeader_ShipDate","[ShipDate]>=[OrderDate] OR [ShipDate] IS NULL","","","","CK_SalesOrderHeader_ShipDate","","CK_SalesOrderHeader_ShipDate","CK_SalesOrderHeader_ShipDate","Sales","false","","User-Defined","","","","","","","CK_SalesOrderHeader_ShipDate"
"1075839020::1869","CK_SalesPerson_SalesQuota",Validation Rule,"","CK_SalesPerson_SalesQuota","[SalesQuota]>(0.00)","","","","CK_SalesPerson_SalesQuota","","CK_SalesPerson_SalesQuota","CK_SalesPerson_SalesQuota","Sales","false","","User-Defined","","","","","","","CK_SalesPerson_SalesQuota"
"1075839020::1871","CK_SalesPerson_Bonus",Validation Rule,"","CK_SalesPerson_Bonus"," >= 0.00","","","","CK_SalesPerson_Bonus","","CK_SalesPerson_Bonus","CK_SalesPerson_Bonus","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesPerson_Bonus"
"1075839020::1875","CK_SalesPerson_CommissionPct",Validation Rule,"","CK_SalesPerson_CommissionPct"," >= 0.00","","","","CK_SalesPerson_CommissionPct","","CK_SalesPerson_CommissionPct","CK_SalesPerson_CommissionPct","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesPerson_CommissionPct"
"1075839020::1879","CK_SalesPerson_SalesYTD",Validation Rule,"","CK_SalesPerson_SalesYTD"," >= 0.00","","","","CK_SalesPerson_SalesYTD","","CK_SalesPerson_SalesYTD","CK_SalesPerson_SalesYTD","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesPerson_SalesYTD"
